id,marca,tipo_combustible,aspiracion,numero_puertas,estilo_carroceria,ruedas_motrices,ubicacion_motor,base_ruedas,longitud,ancho,altura,peso_en_vacio,tipo_motor,numero_cilindros,tamano_motor,sistema_combustible,diametro_cilindro,carrera_cilindro,relacion_compresion,potencia_hp,rpm_maximas,consumo_ciudad_kpg,consumo_carretera_kpg,precio,longitud_normalizada,ancho_normalizado,altura_normalizada,potencia_hp_agrupada,tipo_combustible_diesel,tipo_combustible_gas,aspiracion_std,aspiracion_turbo
131,renault,gas,std,four,wagon,fwd,front,96.1,181.5,66.5,55.2,2579,ohc,four,132,mpfi,3.46,3.9,8.7,104,5125,37,49,9295,0.8722,0.9236,0.9231,Baja,0,1,1,0
132,renault,gas,std,two,hatchback,fwd,front,96.1,176.8,66.6,50.5,2460,ohc,four,132,mpfi,3.46,3.9,8.7,104,5125,37,49,9895,0.8496,0.925,0.8445,Baja,0,1,1,0
133,saab,gas,std,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2658,ohc,four,121,mpfi,3.54,3.07,9.31,110,5250,33,45,11850,0.8967,0.9236,0.9381,Baja,0,1,1,0
134,saab,gas,std,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2695,ohc,four,121,mpfi,3.54,3.07,9.3,110,5250,33,45,12170,0.8967,0.9236,0.9381,Baja,0,1,1,0
135,saab,gas,std,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2707,ohc,four,121,mpfi,2.54,2.07,9.3,110,5250,33,45,15040,0.8967,0.9236,0.9381,Baja,0,1,1,0
136,saab,gas,std,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2758,ohc,four,121,mpfi,3.54,3.07,9.3,110,5250,33,45,15510,0.8967,0.9236,0.9381,Baja,0,1,1,0
137,saab,gas,turbo,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2808,dohc,four,121,mpfi,3.54,3.07,9.0,160,5500,30,41,18150,0.8967,0.9236,0.9381,Media,0,1,0,1
138,saab,gas,turbo,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2847,dohc,four,121,mpfi,3.54,3.07,9.0,160,5500,30,41,18620,0.8967,0.9236,0.9381,Media,0,1,0,1
139,subaru,gas,std,two,hatchback,fwd,front,93.7,156.9,63.4,53.7,2050,ohcf,four,97,2bbl,3.62,2.36,9.0,69,4900,49,57,5118,0.754,0.8806,0.898,Baja,0,1,1,0
140,subaru,gas,std,two,hatchback,fwd,front,93.7,157.9,63.6,53.7,2120,ohcf,four,108,2bbl,3.62,2.64,8.7,73,4400,41,49,7053,0.7588,0.8833,0.898,Baja,0,1,1,0
141,subaru,gas,std,two,hatchback,4wd,front,93.3,157.3,63.8,55.7,2240,ohcf,four,108,2bbl,3.62,2.64,8.7,73,4400,41,49,7603,0.7559,0.8861,0.9314,Baja,0,1,1,0
142,subaru,gas,std,four,sedan,fwd,front,97.2,172.0,65.4,52.5,2145,ohcf,four,108,2bbl,3.62,2.64,9.5,82,4800,51,59,7126,0.8265,0.9083,0.8779,Baja,0,1,1,0
143,subaru,gas,std,four,sedan,fwd,front,97.2,172.0,65.4,52.5,2190,ohcf,four,108,2bbl,3.62,2.64,9.5,82,4400,45,53,7775,0.8265,0.9083,0.8779,Baja,0,1,1,0
144,subaru,gas,std,four,sedan,fwd,front,97.2,172.0,65.4,52.5,2340,ohcf,four,108,mpfi,3.62,2.64,9.0,94,5200,41,51,9960,0.8265,0.9083,0.8779,Baja,0,1,1,0
145,subaru,gas,std,four,sedan,4wd,front,97.0,172.0,65.4,54.3,2385,ohcf,four,108,2bbl,3.62,2.64,9.0,82,4800,38,40,9233,0.8265,0.9083,0.908,Baja,0,1,1,0
146,subaru,gas,turbo,four,sedan,4wd,front,97.0,172.0,65.4,54.3,2510,ohcf,four,108,mpfi,3.62,2.64,7.7,111,4800,38,46,11259,0.8265,0.9083,0.908,Baja,0,1,0,1
147,subaru,gas,std,four,wagon,fwd,front,97.0,173.5,65.4,53.0,2290,ohcf,four,108,2bbl,3.62,2.64,9.0,82,4800,45,51,7463,0.8337,0.9083,0.8863,Baja,0,1,1,0
148,subaru,gas,std,four,wagon,fwd,front,97.0,173.5,65.4,53.0,2455,ohcf,four,108,mpfi,3.62,2.64,9.0,94,5200,40,49,10198,0.8337,0.9083,0.8863,Baja,0,1,1,0
149,subaru,gas,std,four,wagon,4wd,front,96.9,173.6,65.4,54.9,2420,ohcf,four,108,2bbl,3.62,2.64,9.0,82,4800,37,46,8013,0.8342,0.9083,0.9181,Baja,0,1,1,0
150,subaru,gas,turbo,four,wagon,4wd,front,96.9,173.6,65.4,54.9,2650,ohcf,four,108,mpfi,3.62,2.64,7.7,111,4800,37,37,11694,0.8342,0.9083,0.9181,Baja,0,1,0,1
151,toyota,gas,std,two,hatchback,fwd,front,95.7,158.7,63.6,54.5,1985,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800,56,62,5348,0.7626,0.8833,0.9114,Baja,0,1,1,0
152,toyota,gas,std,two,hatchback,fwd,front,95.7,158.7,63.6,54.5,2040,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800,49,61,6338,0.7626,0.8833,0.9114,Baja,0,1,1,0
153,toyota,gas,std,four,hatchback,fwd,front,95.7,158.7,63.6,54.5,2015,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800,49,61,6488,0.7626,0.8833,0.9114,Baja,0,1,1,0
154,toyota,gas,std,four,wagon,fwd,front,95.7,169.7,63.6,59.1,2280,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800,49,59,6918,0.8155,0.8833,0.9883,Baja,0,1,1,0
155,toyota,gas,std,four,wagon,4wd,front,95.7,169.7,63.6,59.1,2290,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800,43,51,7898,0.8155,0.8833,0.9883,Baja,0,1,1,0
156,toyota,gas,std,four,wagon,4wd,front,95.7,169.7,63.6,59.1,3110,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800,43,51,8778,0.8155,0.8833,0.9883,Baja,0,1,1,0
157,toyota,gas,std,four,sedan,fwd,front,95.7,166.3,64.4,53.0,2081,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800,48,59,6938,0.7991,0.8944,0.8863,Baja,0,1,1,0
158,toyota,gas,std,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2109,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800,48,59,7198,0.7991,0.8944,0.8829,Baja,0,1,1,0
159,toyota,diesel,std,four,sedan,fwd,front,95.7,166.3,64.4,53.0,2275,ohc,four,110,idi,3.27,3.35,22.5,56,4500,54,57,7898,0.7991,0.8944,0.8863,Baja,1,0,1,0
160,toyota,diesel,std,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2275,ohc,four,110,idi,3.27,3.35,22.5,56,4500,61,75,7788,0.7991,0.8944,0.8829,Baja,1,0,1,0
161,toyota,gas,std,four,sedan,fwd,front,95.7,166.3,64.4,53.0,2094,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800,61,75,7738,0.7991,0.8944,0.8863,Baja,0,1,1,0
162,toyota,gas,std,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2122,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800,45,54,8358,0.7991,0.8944,0.8829,Baja,0,1,1,0
163,toyota,gas,std,four,sedan,fwd,front,95.7,166.3,64.4,52.8,2140,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800,45,54,9258,0.7991,0.8944,0.8829,Baja,0,1,1,0
164,toyota,gas,std,two,sedan,rwd,front,94.5,168.7,64.0,52.6,2169,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800,46,54,8058,0.8107,0.8889,0.8796,Baja,0,1,1,0
165,toyota,gas,std,two,hatchback,rwd,front,94.5,168.7,64.0,52.6,2204,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800,46,54,8238,0.8107,0.8889,0.8796,Baja,0,1,1,0
166,toyota,gas,std,two,sedan,rwd,front,94.5,168.7,64.0,52.6,2265,dohc,four,98,mpfi,3.24,3.08,9.4,112,6600,41,46,9298,0.8107,0.8889,0.8796,Baja,0,1,1,0
167,toyota,gas,std,two,hatchback,rwd,front,94.5,168.7,64.0,52.6,2300,dohc,four,98,mpfi,3.24,3.08,9.4,112,6600,41,46,9538,0.8107,0.8889,0.8796,Baja,0,1,1,0
168,toyota,gas,std,two,hardtop,rwd,front,98.4,176.2,65.6,52.0,2540,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,38,48,8449,0.8467,0.9111,0.8696,Baja,0,1,1,0
169,toyota,gas,std,two,hardtop,rwd,front,98.4,176.2,65.6,52.0,2536,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,38,48,9639,0.8467,0.9111,0.8696,Baja,0,1,1,0
170,toyota,gas,std,two,hatchback,rwd,front,98.4,176.2,65.6,52.0,2551,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,38,48,9989,0.8467,0.9111,0.8696,Baja,0,1,1,0
171,toyota,gas,std,two,hardtop,rwd,front,98.4,176.2,65.6,52.0,2679,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,38,48,11199,0.8467,0.9111,0.8696,Baja,0,1,1,0
172,toyota,gas,std,two,hatchback,rwd,front,98.4,176.2,65.6,52.0,2714,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,38,48,11549,0.8467,0.9111,0.8696,Baja,0,1,1,0
173,toyota,gas,std,two,convertible,rwd,front,98.4,176.2,65.6,53.0,2975,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,38,48,17669,0.8467,0.9111,0.8863,Baja,0,1,1,0
174,toyota,gas,std,four,sedan,fwd,front,102.4,175.6,66.5,54.9,2326,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200,46,54,8948,0.8438,0.9236,0.9181,Baja,0,1,1,0
175,toyota,diesel,turbo,four,sedan,fwd,front,102.4,175.6,66.5,54.9,2480,ohc,four,110,idi,3.27,3.35,22.5,73,4500,48,53,10698,0.8438,0.9236,0.9181,Baja,1,0,0,1
176,toyota,gas,std,four,hatchback,fwd,front,102.4,175.6,66.5,53.9,2414,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200,43,51,9988,0.8438,0.9236,0.9013,Baja,0,1,1,0
177,toyota,gas,std,four,sedan,fwd,front,102.4,175.6,66.5,54.9,2414,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200,43,51,10898,0.8438,0.9236,0.9181,Baja,0,1,1,0
178,toyota,gas,std,four,hatchback,fwd,front,102.4,175.6,66.5,53.9,2458,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200,43,51,11248,0.8438,0.9236,0.9013,Baja,0,1,1,0
179,toyota,gas,std,two,hatchback,rwd,front,102.9,183.5,67.7,52.0,2976,dohc,six,171,mpfi,3.27,3.35,9.3,161,5200,32,38,16558,0.8818,0.9403,0.8696,Media,0,1,1,0
180,toyota,gas,std,two,hatchback,rwd,front,102.9,183.5,67.7,52.0,3016,dohc,six,171,mpfi,3.27,3.35,9.3,161,5200,30,38,15998,0.8818,0.9403,0.8696,Media,0,1,1,0
181,toyota,gas,std,four,sedan,rwd,front,104.5,187.8,66.5,54.1,3131,dohc,six,171,mpfi,3.27,3.35,9.2,156,5200,32,38,15690,0.9025,0.9236,0.9047,Media,0,1,1,0
182,toyota,gas,std,four,wagon,rwd,front,104.5,187.8,66.5,54.1,3151,dohc,six,161,mpfi,3.27,3.35,9.2,156,5200,30,38,15750,0.9025,0.9236,0.9047,Media,0,1,1,0
183,volkswagen,diesel,std,two,sedan,fwd,front,97.3,171.7,65.5,55.7,2261,ohc,four,97,idi,3.01,3.4,23.0,52,4800,59,74,7775,0.8251,0.9097,0.9314,Baja,1,0,1,0
184,volkswagen,gas,std,two,sedan,fwd,front,97.3,171.7,65.5,55.7,2209,ohc,four,109,mpfi,3.19,3.4,9.0,85,5250,43,54,7975,0.8251,0.9097,0.9314,Baja,0,1,1,0
185,volkswagen,diesel,std,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2264,ohc,four,97,idi,3.01,3.4,23.0,52,4800,59,74,7995,0.8251,0.9097,0.9314,Baja,1,0,1,0
186,volkswagen,gas,std,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2212,ohc,four,109,mpfi,3.19,3.4,9.0,85,5250,43,54,8195,0.8251,0.9097,0.9314,Baja,0,1,1,0
187,volkswagen,gas,std,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2275,ohc,four,109,mpfi,3.19,3.4,9.0,85,5250,43,54,8495,0.8251,0.9097,0.9314,Baja,0,1,1,0
188,volkswagen,diesel,turbo,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2319,ohc,four,97,idi,3.01,3.4,23.0,68,4500,59,67,9495,0.8251,0.9097,0.9314,Baja,1,0,0,1
189,volkswagen,gas,std,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2300,ohc,four,109,mpfi,3.19,3.4,10.0,100,5500,41,51,9995,0.8251,0.9097,0.9314,Baja,0,1,1,0
190,volkswagen,gas,std,two,convertible,fwd,front,94.5,159.3,64.2,55.6,2254,ohc,four,109,mpfi,3.19,3.4,8.5,90,5500,38,46,11595,0.7655,0.8917,0.9298,Baja,0,1,1,0
191,volkswagen,gas,std,two,hatchback,fwd,front,94.5,165.7,64.0,51.4,2221,ohc,four,109,mpfi,3.19,3.4,8.5,90,5500,38,46,9980,0.7963,0.8889,0.8595,Baja,0,1,1,0
192,volkswagen,gas,std,four,sedan,fwd,front,100.4,180.2,66.9,55.1,2661,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,30,38,13295,0.8659,0.9292,0.9214,Baja,0,1,1,0
193,volkswagen,diesel,turbo,four,sedan,fwd,front,100.4,180.2,66.9,55.1,2579,ohc,four,97,idi,3.01,3.4,23.0,68,4500,53,61,13845,0.8659,0.9292,0.9214,Baja,1,0,0,1
194,volkswagen,gas,std,four,wagon,fwd,front,100.4,183.1,66.9,55.1,2563,ohc,four,109,mpfi,3.19,3.4,9.0,88,5500,40,49,12290,0.8799,0.9292,0.9214,Baja,0,1,1,0
195,volvo,gas,std,four,sedan,rwd,front,104.3,188.8,67.2,56.2,2912,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,37,45,12940,0.9073,0.9333,0.9398,Baja,0,1,1,0
196,volvo,gas,std,four,wagon,rwd,front,104.3,188.8,67.2,57.5,3034,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,37,45,13415,0.9073,0.9333,0.9615,Baja,0,1,1,0
197,volvo,gas,std,four,sedan,rwd,front,104.3,188.8,67.2,56.2,2935,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,38,45,15985,0.9073,0.9333,0.9398,Baja,0,1,1,0
198,volvo,gas,std,four,wagon,rwd,front,104.3,188.8,67.2,57.5,3042,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,38,45,16515,0.9073,0.9333,0.9615,Baja,0,1,1,0
199,volvo,gas,turbo,four,sedan,rwd,front,104.3,188.8,67.2,56.2,3045,ohc,four,130,mpfi,3.62,3.15,7.5,162,5100,27,35,18420,0.9073,0.9333,0.9398,Media,0,1,0,1
200,volvo,gas,turbo,four,wagon,rwd,front,104.3,188.8,67.2,57.5,3157,ohc,four,130,mpfi,3.62,3.15,7.5,162,5100,27,35,18950,0.9073,0.9333,0.9615,Media,0,1,0,1
201,volvo,gas,std,four,sedan,rwd,front,109.1,188.8,68.9,55.5,2952,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,37,45,16845,0.9073,0.9569,0.9281,Baja,0,1,1,0
202,volvo,gas,turbo,four,sedan,rwd,front,109.1,188.8,68.8,55.5,3049,ohc,four,141,mpfi,3.78,3.15,8.7,160,5300,30,40,19045,0.9073,0.9556,0.9281,Media,0,1,0,1
203,volvo,gas,std,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3012,ohcv,six,173,mpfi,3.58,2.87,8.8,134,5500,28,37,21485,0.9073,0.9569,0.9281,Media,0,1,1,0
204,volvo,diesel,turbo,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3217,ohc,six,145,idi,3.01,3.4,23.0,106,4800,41,43,22470,0.9073,0.9569,0.9281,Baja,1,0,0,1
205,volvo,gas,turbo,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3062,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,30,40,22625,0.9073,0.9569,0.9281,Baja,0,1,0,1
